x_m,y_m
6.907318003999713719e-03,1.465820312499999979e-02
6.904296875000000278e-03,1.465390584300235201e-02
6.893395972113363843e-03,1.463867187500000021e-02
6.884765624999999827e-03,1.462732506206684824e-02
6.878304524286190866e-03,1.461914062500000062e-02
6.865234375000000243e-03,1.460322701986789366e-02
6.862133836974609706e-03,1.459960937500000104e-02
6.845703124999999792e-03,1.458102559478925177e-02
6.844831694487429376e-03,1.458007812500000146e-02
6.826321550621510838e-03,1.456054687500000014e-02
6.826171875000000208e-03,1.456039483973727011e-02
6.806640624999999757e-03,1.454108593135714812e-02
6.806567758881137964e-03,1.454101562500000056e-02
6.787109375000000173e-03,1.452289298709034081e-02
6.785569778028780266e-03,1.452148437499999924e-02
6.767578124999999722e-03,1.450561001654713036e-02
6.763372605194916884e-03,1.450195312499999965e-02
6.748046875000000139e-03,1.448906856472920862e-02
6.740011818224206017e-03,1.448242187500000007e-02
6.728515625000000555e-03,1.447315727986314172e-02
6.715467173188598149e-03,1.446289062500000049e-02
6.708984375000000104e-03,1.445785238741597103e-02
6.689597724637831762e-03,1.444335937500000264e-02
6.689453125000000520e-03,1.444325038743325337e-02
6.669921875000000069e-03,1.442923170038376210e-02
6.662395600068675948e-03,1.442382812499999958e-02
6.650390625000000486e-03,1.441542525105184679e-02
6.634069480749562805e-03,1.440429687500000000e-02
6.630859375000000035e-03,1.440209369355933619e-02
6.611328125000002186e-03,1.438943000580681850e-02
6.604244160559831489e-03,1.438476562500000042e-02
6.591796875000000000e-03,1.437678602476051733e-02
6.573250994568501440e-03,1.436523437500000083e-02
6.572265625000000416e-03,1.436460793518112324e-02
6.552734375000000833e-03,1.435291343827126316e-02
6.540757057740181034e-03,1.434570312499999951e-02
6.533203125000000382e-03,1.434118088869581684e-02
6.513671874999999931e-03,1.433016092128464557e-02
6.506812772997802759e-03,1.432617187499999993e-02
6.494140625000000347e-03,1.431900805342625239e-02
6.474609374999999896e-03,1.430842217852719769e-02
6.471433961459867844e-03,1.430664062500000035e-02
6.455078125000000312e-03,1.429787618204389488e-02
6.435546874999998994e-03,1.428766706363804144e-02
6.434514204094497931e-03,1.428710937500000250e-02
6.416015625000000278e-03,1.427767223236831376e-02
6.396484374999999827e-03,1.426787336453951352e-02
6.395914756407631782e-03,1.426757812499999944e-02
6.376953125000000243e-03,1.425832419478703997e-02
6.357421874999998924e-03,1.424899171601814139e-02
6.355515693830070603e-03,1.424804687499999986e-02
6.337890625000000208e-03,1.423977497375846814e-02
6.318359374999999757e-03,1.423094051318888296e-02
6.313221026884683652e-03,1.422851562500000028e-02
6.298828125000000173e-03,1.422198396348469882e-02
6.279296874999999722e-03,1.421362191241606204e-02
6.268918764464377277e-03,1.420898437500000069e-02
6.259765625000000139e-03,1.420494538457861208e-02
6.240234375000001422e-03,1.419694955661533059e-02
6.222401335214447146e-03,1.418945312500000111e-02
6.220703125000000104e-03,1.418872047163505061e-02
6.201171875000000520e-03,1.418088701086092814e-02
6.181640625000000069e-03,1.417331717847831671e-02
6.173275292836622775e-03,1.416992187499999979e-02
6.162109375000000486e-03,1.416549726111170950e-02
6.142578125000000035e-03,1.415832891161204581e-02
6.123046875000001318e-03,1.415101018858185011e-02
6.121450537074883333e-03,1.415039062500000021e-02
6.103515625000000000e-03,1.414382788530239680e-02
6.083984375000000416e-03,1.413712818902753549e-02
6.066424405552427526e-03,1.413085937500000062e-02
6.064453124999999965e-03,1.413013989831455632e-02
6.044921875000000382e-03,1.412352281102785545e-02
6.025390624999999931e-03,1.411725455050992679e-02
6.007685747879421174e-03,1.411132812500000104e-02
6.005859375000000347e-03,1.411070352659970183e-02
5.986328124999999896e-03,1.410450122005284072e-02
5.966796875000000312e-03,1.409866792475635185e-02
5.947265624999999861e-03,1.409265828908194511e-02
5.944555241889892469e-03,1.409179687499999972e-02
5.927734375000000278e-03,1.408672933511761344e-02
5.908203124999999827e-03,1.408129414673927465e-02
5.888671875000000243e-03,1.407588588558182814e-02
5.876155840997725546e-03,1.407226562500000014e-02
5.869140624999999792e-03,1.407025115282374908e-02
5.849609375000000208e-03,1.406508220996223468e-02
5.830078124999999757e-03,1.406018506754940119e-02
5.810546875000000173e-03,1.405522352319220000e-02
5.801102853045989570e-03,1.405273437500000056e-02
5.791015624999999722e-03,1.405013513580843747e-02
5.771484375000000139e-03,1.404550886207294597e-02
5.751953124999999688e-03,1.404112206173194037e-02
5.732421875000000104e-03,1.403672687384048372e-02
5.717328874779427535e-03,1.403320312500000271e-02
5.712890625000000520e-03,1.403216646206313298e-02
5.693359375000000069e-03,1.402794534924099723e-02
5.673828125000000486e-03,1.402403334415775783e-02
5.654296875000000035e-03,1.402024194295256945e-02
5.634765625000001318e-03,1.401641762729543585e-02
5.621119061702407882e-03,1.401367187499999965e-02
5.615234375000000000e-03,1.401249750912154056e-02
5.595703125000000416e-03,1.400889779041197998e-02
5.576171874999999965e-03,1.400557194559686955e-02
5.556640625000000382e-03,1.400239778570915722e-02
5.537109374999999931e-03,1.399927847681909504e-02
